block_code,division_code
A001A,AME001
C006A,AME001
A002A,AME001
C007A,AME001
A003A,AME001
C008A,AME001
A003B,AME001
B003A,AME001
A004A,AME001
B004A,AME001
A004B,AME001
B005A,AME001
A004C,AME001
C005A,AME001
A004D,AME001
C009A,AME001
A004E,AME001
A005A,AME001
A005B,AME001
A005C,AME001
A006A,AME001
B001A,AME001
A007A,AME001
B002A,AME001
A010A,AME001
B006A,AME001
A010B,AME001
B007A,AME001
A011A,AME001
C010A,AME001
A011B,AME001
C011A,AME001
C004A,AME001
B001B,AME001
C004B,AME001
B001C,AME001
C005B,AME001
B001D,AME001
C007B,AME001
B001E,AME001
B001F,AME001
B002B,AME001
B009A,AME001
B002C,AME001
B010A,AME001
B002D,AME001
B011A,AME001
B002E,AME001
C004C,AME001
B003B,AME001
B003C,AME001
B008A,AME001
B003D,AME001
B009B,AME001
B003E,AME001
B006B,AME001
B006C,AME001
B008B,AME001
B006D,AME001
B009C,AME001
B010B,AME001
B007B,AME001
B011B,AME001
B007C,AME001
C005C,AME001
B007D,AME001
B008C,AME001
B008D,AME001
B008E,AME001
B009D,AME001
B011C,AME001
C004D,AME001
C005D,AME001
B009E,AME001
B009F,AME001
B009G,AME001
C003A,AME001
C004E,AME001
C004F,AME001
C005E,AME001
D001A,AME002
D002A,AME002
F006A,AME002
D003A,AME002
F007A,AME002
D004A,AME002
F008A,AME002
D005A,AME002
D006A,AME002
D007A,AME002
D008A,AME002
D009A,AME002
D010A,AME002
D011A,AME002
D012A,AME002
E001A,AME002
E002A,AME002
E003A,AME002
E004A,AME002
E005A,AME002
E006A,AME002
E007A,AME002
E008A,AME002
E009A,AME002
E010A,AME002
E011A,AME002
E012A,AME002
F001A,AME002
F002A,AME002
F003A,AME002
F004A,AME002
F005A,AME002
F009A,AME002
F010A,AME002
F011A,AME002
F012A,AME002
C020A,AME003
C021A,AME003
E016A,AME003
C022A,AME003
C023A,AME003
D013A,AME003
C024A,AME003
D014A,AME003
C024B,AME003
D015A,AME003
D016A,AME003
D017A,AME003
D018A,AME003
D019A,AME003
D020A,AME003
D021A,AME003
D022A,AME003
D023A,AME003
E013A,AME003
E014A,AME003
E015A,AME003
D024A,AME003
E017A,AME003
D024B,AME003
E018A,AME003
D024C,AME003
E019A,AME003
D024D,AME003
E020A,AME003
D024E,AME003
E021A,AME003
D024F,AME003
E022A,AME003
D024G,AME003
E023A,AME003
E024A,AME003
E024B,AME003
E024C,AME003
E024D,AME003
A012A,AME004
B019A,AME004
A012B,AME004
B020A,AME004
A012C,AME004
C012A,AME004
A012D,AME004
C019A,AME004
A013A,AME004
A020A,AME004
A013B,AME004
B018A,AME004
A013C,AME004
C014A,AME004
A013D,AME004
C018A,AME004
A013E,AME004
A018A,AME004
A014A,AME004
A019A,AME004
A014B,AME004
A021A,AME004
A014C,AME004
B014A,AME004
A014D,AME004
B015A,AME004
B016A,AME004
A018B,AME004
B017A,AME004
A018C,AME004
B021A,AME004
B022A,AME004
A019B,AME004
B022B,AME004
A019C,AME004
C013A,AME004
C015A,AME004
A020B,AME004
C016A,AME004
A020C,AME004
C017A,AME004
C018B,AME004
A021B,AME004
B012A,AME004
B012B,AME004
B012C,AME004
B013A,AME004
B012D,AME004
B013B,AME004
B013C,AME004
B015B,AME004
B014B,AME004
B016B,AME004
B014C,AME004
B020B,AME004
B014D,AME004
B021B,AME004
B014E,AME004
B015C,AME004
B015D,AME004
B015E,AME004
B016C,AME004
B017B,AME004
B016D,AME004
B016E,AME004
B016F,AME004
B016G,AME004
B016H,AME004
B017C,AME004
B017D,AME004
B017E,AME004
B017F,AME004
B017G,AME004
B024A,AME004
B023A,AME004
B024B,AME004
G005A,OLE001
G006A,OLE001
G007A,OLE001
G008A,OLE001
G001A,OLE001
G009A,OLE001
G010A,OLE001
G002A,OLE001
G011A,OLE001
G003A,OLE001
G012A,OLE001
G004A,OLE001
H009A,OLE001
H010A,OLE001
H005A,OLE001
H006A,OLE001
H011A,OLE001
H012A,OLE001
I012A,OLE001
I014A,OLE001
I015A,OLE001
J012A,OLE001
J013A,OLE001
H007A,OLE001
J014A,OLE001
H008A,OLE001
J015A,OLE001
I010A,OLE001
J011A,OLE001
I011A,OLE001
K012A,OLE001
I013A,OLE001
K013A,OLE001
K014A,OLE001
K015A,OLE001
F013A,OLE002
F014A,OLE002
F016A,OLE002
G013A,OLE002
G014A,OLE002
G015A,OLE002
G016A,OLE002
G017A,OLE002
G018A,OLE002
F015A,OLE002
H013A,OLE002
H014A,OLE002
F017A,OLE002
H015A,OLE002
F018A,OLE002
H017A,OLE002
F019A,OLE002
H018A,OLE002
F020A,OLE002
H019A,OLE002
F021A,OLE002
F022A,OLE002
F023A,OLE002
F024A,OLE002
G015B,OLE002
G019A,OLE002
G020A,OLE002
G016B,OLE002
H016A,OLE002
G016C,OLE002
H020A,OLE002
H021A,OLE002
H022A,OLE002
G021A,OLE002
G022A,OLE002
G021B,OLE002
G023A,OLE002
H022B,OLE002
G022B,OLE002
H023A,OLE002
G023B,OLE002
G023C,OLE002
G023D,OLE002
H023B,OLE002
I016A,OLE003
I017A,OLE003
I018A,OLE003
I019A,OLE003
I020A,OLE003
I021A,OLE003
J016A,OLE003
H023C,OLE002
J017A,OLE003
J018A,OLE003
J019A,OLE003
J020A,OLE003
L022B,OLE003
L023B,OLE003
I023A,OLE003
I022A,OLE003
I022B,OLE003
J022A,OLE003
J023A,OLE003
I023B,OLE003
K018A,OLE003
I023C,OLE003
K016A,OLE003
K017A,OLE003
K019A,OLE003
K020A,OLE003
K023A,OLE003
J021A,OLE003
L021B,OLE003
J022B,OLE003
K019B,OLE003
K020B,OLE003
K021A,OLE003
K022A,OLE003
K023B,OLE003
L020A,OLE003
L021A,OLE003
L022A,OLE003
L023A,OLE003
H026A,OLE004
L024B,OLE004
H025A,OLE004
H027A,OLE004
H028A,OLE004
H029A,OLE004
H030A,OLE004
I025A,OLE004
I026A,OLE004
I027A,OLE004
H024A,OLE004
I028A,OLE004
H024B,OLE004
I029A,OLE004
I030A,OLE004
H025B,OLE004
J024A,OLE004
H025C,OLE004
J025A,OLE004
J026A,OLE004
J027A,OLE004
K024A,OLE004
K025A,OLE004
I024A,OLE004
I024B,OLE004
J028A,OLE004
J029A,OLE004
J030A,OLE004
K026A,OLE004
K027A,OLE004
K028A,OLE004
K029A,OLE004
K030A,OLE004
L025B,OLE004
L028A,OLE004
L029A,OLE004
L030A,OLE004
K024B,OLE004
L024A,OLE004
F026A,DBE001
F032A,DBE001
K027B,OLE004
F033A,DBE001
G025A,DBE001
G026A,DBE001
G031A,DBE001
E026A,DBE001
E027A,DBE001
F025A,DBE001
F027A,DBE001
L028B,OLE004
G027A,DBE001
G030A,DBE001
L029B,OLE004
G032A,DBE001
G033A,DBE001
L030B,OLE004
E033A,DBE001
C027A,DBE001
G025B,DBE001
C027B,DBE001
G028A,DBE001
C028A,DBE001
G029A,DBE001
C029A,DBE001
D027A,DBE001
D026A,DBE001
E027B,DBE001
D027B,DBE001
D028A,DBE001
D027C,DBE001
F025B,DBE001
D027D,DBE001
D027E,DBE001
D028B,DBE001
D027F,DBE001
E026B,DBE001
D027G,DBE001
F025C,DBE001
D027H,DBE001
F029A,DBE001
D027I,DBE001
F030A,DBE001
G025C,DBE001
D028C,DBE001
F029B,DBE001
D028D,DBE001
F030B,DBE001
D028E,DBE001
F031A,DBE001
D028F,DBE001
D028G,DBE001
F028A,DBE001
D029A,DBE001
F029C,DBE001
D029B,DBE001
D033A,DBE001
D034A,DBE001
E026C,DBE001
E032A,DBE001
F029D,DBE001
F030C,DBE001
E026D,DBE001
F031B,DBE001
E026E,DBE001
E028A,DBE001
E032B,DBE001
F025D,DBE001
F028B,DBE001
E034A,DBE001
F029E,DBE001
F030D,DBE001
F031C,DBE001
F025E,DBE001
F028C,DBE001
F029F,DBE001
F030E,DBE001
F031D,DBE001
F029G,DBE001
F030F,DBE001
F031E,DBE001
K032B,DBE002
K035B,DBE002
K033B,DBE002
F034A,DBE001
K034B,DBE002
H031A,DBE002
H034A,DBE002
J031A,DBE002
J032A,DBE002
J033A,DBE002
J034A,DBE002
K032A,DBE002
K033A,DBE002
K035A,DBE002
G034A,DBE002
G035A,DBE002
H032A,DBE002
I032A,DBE002
G036A,DBE002
H033A,DBE002
H035A,DBE002
I031A,DBE002
I033A,DBE002
I034A,DBE002
I035A,DBE002
H036A,DBE002
J035A,DBE002
K031A,DBE002
K034A,DBE002
L032B,DBE003
L033B,DBE003
L034B,DBE003
I036A,DBE002
L035B,DBE003
L036B,DBE003
L039A,DBE003
M031B,DBE003
M032B,DBE003
M033B,DBE003
J036A,DBE002
M034B,DBE003
M035B,DBE003
M036B,DBE003
M037B,DBE003
M038B,DBE003
M039B,DBE003
M040B,DBE003
M041B,DBE003
M042B,DBE003
M043B,DBE003
K036A,DBE002
N037C,DBE003
K036B,DBE002
N038C,DBE003
L031A,DBE003
N039C,DBE003
N040C,DBE003
N041C,DBE003
N042C,DBE003
N043C,DBE003
L037B,DBE003
L039B,DBE003
L038A,DBE003
L040A,DBE003
L038B,DBE003
M038A,DBE003
M039A,DBE003
M040A,DBE003
M041A,DBE003
M043A,DBE003
M044A,DBE003
N043A,DBE003
M034A,DBE003
N044A,DBE003
M039C,DBE003
M035A,DBE003
M040C,DBE003
M041C,DBE003
M036A,DBE003
M036C,DBE003
K037B,DBE004
K038B,DBE004
K039B,DBE004
I039A,DBE004
I040A,DBE004
I041A,DBE004
I042A,DBE004
J039A,DBE004
J040A,DBE004
J041A,DBE004
K039A,DBE004
I043A,DBE004
J037A,DBE004
J038A,DBE004
N037A,DBE003
K037A,DBE004
K038A,DBE004
J042A,DBE004
J043A,DBE004
J044A,DBE004
N042A,DBE003
K040A,DBE004
K041A,DBE004
I045B,DBE004
J042B,DBE004
N043D,DBE003
J043B,DBE004
J044B,DBE004
G037A,DBE004
I044A,DBE004
G038A,DBE004
I045A,DBE004
G039A,DBE004
J042C,DBE004
G040A,DBE004
J042D,DBE004
G041A,DBE004
J043C,DBE004
G042A,DBE004
J044C,DBE004
G043A,DBE004
K041B,DBE004
H037A,DBE004
K042A,DBE004
H038A,DBE004
H039A,DBE004
H040A,DBE004
H041A,DBE004
I038A,DBE004
I037A,DBE004
I037B,DBE004
E036A,DBE005
C038A,DBE005
J044D,DBE004
D035A,DBE005
D036A,DBE005
D037A,DBE005
D038A,DBE005
D039A,DBE005
E035A,DBE005
K041C,DBE004
E036B,DBE005
C036A,DBE005
C037A,DBE005
C039A,DBE005
D040A,DBE005
D041A,DBE005
D042A,DBE005
D043A,DBE005
D043B,DBE005
E037A,DBE005
E037B,DBE005
E038A,DBE005
E039A,DBE005
E040A,DBE005
E041A,DBE005
E042A,DBE005
E043A,DBE005
E043B,DBE005
E044A,DBE005
F035A,DBE005
F036A,DBE005
F037A,DBE005
F038A,DBE005
F039A,DBE005
F040A,DBE005
F041A,DBE005
F042A,DBE005
F043A,DBE005
F044A,DBE005
F045A,DBE005
