0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estate,BLOK,Ha,TT SISIP,Pokok,TT,SPH,2014,,,,,,,,,2015,,,,,,,,,2016,,,,,,,,,2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,,,2020,,,,,,,,,2021,,,,,,,,,2022,,,,,,,,,2023,,,,,,,,,2024,,,,,,,,,2025,,,,,,,,
,Estate,BLOK,Ha,TT SISIP,Pokok,TT,SPH,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,
,Estate,BLOK,Ha,,,,,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton
1.0,AME001,C006A,30,0.6780462184873949,3808,2010,126.93333333333334,2.938799863291047,34496,101.37684008408796,3.0142610659229665,42662,128.5944055944056,-0.07546120263191947,-8166,-27.21756551031764,3.980585584165905,63458,252.6,3.641010119006645,55264,201.21678321678323,0.33957546515925996,8194,51.38321678321677,4.316289710148346,84802,366.03,4.612661823142521,59996,276.7412587412587,-0.29637211299417565,24806,89.28874125874125,4.868789912054326,98811,481.09,6.183423741879241,59618,368.64335664335664,-1.3146338298249152,39193,112.44664335664334,6.218615333006477,77506,481.98,8.420298032552699,56403,474.9300699300699,-2.2016826995462218,21103,7.049930069930099,7.062186546879188,78361,553.4,10.808262918784365,52949,572.2867132867134,-3.7460763719051773,25412,-18.886713286713416,6.897176011062168,70149,483.83,12.740407695318737,49236,627.2867132867134,-5.843231684256569,20913,-143.4567132867134,10.581632268045126,53006,560.89,14.115146001877042,46085,650.4965034965035,-3.5335137338319154,6921,-89.60650349650348,7.896029929085935,71636,565.64,15.052351671731332,43669.5,657.3286713286714,-7.156321742645397,27966.5,-91.68867132867138,7.376717916535927,79675,587.74,15.825354016616958,41581.5,658.0419580419581,-8.44863610008103,38093.5,-70.30195804195807,7.941216622071752,73252,581.71,16.846521032281764,39061,658.0419580419581,-8.905304410210011,34191,-76.33195804195805,9.847117364626305,64892.087332631265,639,18.1981998976391,35217.5,640.895104895105,-8.351082533012795,29674.587332631265,-1.8951048951049643
2.0,AME001,C007A,25.4,0.993288590604027,3129,2010,123.18897637795277,2.950859099618013,19942,58.84603216458241,2.5236645023259965,14434,36.426573426573434,0.42719459729201636,5508,22.419458738008977,3.8345489276721367,46068,176.65,3.067602481736499,32772,100.53146853146855,0.7669464459356377,13296,76.11853146853146,4.144848266096566,72034,298.57,3.736452790237651,40160,150.05594405594408,0.40839547585891456,31874,148.5140559440559,4.9334772537081735,82453,406.78,4.945186507960872,39865,197.13986013986016,-0.011709254252698642,42588,209.6401398601398,5.98042877418391,66935,400.3,5.9955756008444245,46462,278.56643356643366,-0.015146826660514812,20473,121.73356643356635,6.757543319729711,59788,404.02,7.9143874630022895,46745,369.95804195804203,-1.1568441432725782,13043,34.06195804195795,6.737203230311494,65876,443.82,10.088705637047859,43130,435.12587412587413,-3.3515024067363646,22746,8.69412587412586,9.305627037227655,46632,433.94,11.791145513575938,40692.5,479.81118881118886,-2.4855184763482825,5939.5,-45.87118881118886,7.624091716454061,61930,472.16,13.162919252427692,38164,502.3496503496504,-5.53882753597363,23766,-30.18965034965038,7.311976480427813,78913,577.01,14.362885494575842,36498.5,524.2237762237763,-7.050909014148029,42414.5,52.786223776223665,7.8023231694669155,67494,526.61,15.303189617221664,34859.5,533.4615384615386,-7.500866447754748,32634.5,-6.851538461538553,9.758721953405091,56599.6246882793,552.34,16.417830957410928,32497.5,533.5384615384617,-6.6591090040058365,24102.1246882793,18.80153846153837
3.0,AME001,C008A,29.1,0.7694584196507843,3379,2010,116.1168384879725,3.1302778156271067,21779,68.17432054654276,2.924263160675542,32824,95.98601398601399,0.20601465495156468,-11045,-27.811693439471227,3.7657550272608877,45303,170.6,3.499749880842938,47390,165.85314685314685,0.2660051464179496,-2087,4.746853146853141,3.9858504617217756,67140,267.61,4.370695397207974,52956,231.45454545454544,-0.384844935486198,14184,36.155454545454575,5.248680695810802,76745,402.81,5.86667129794458,52345,307.09090909090907,-0.6179906021337782,24400,95.71909090909094,6.087136986869958,72277,439.96,8.0007384385046,49547,396.41258741258736,-1.9136014516346416,22730,43.54741258741262,6.685100984905715,70159,469.02,10.428092015223381,46625,486.2097902097901,-3.7429910303176666,23534,-17.189790209790146,7.036021738084933,62379,438.9,12.513394595719053,43365,542.6433566433567,-5.47737285763412,19014,-103.74335664335672,9.393982115524047,49652,466.43,14.001735014124307,40478.5,566.7692307692307,-4.6077528986002605,9173.5,-100.33923076923071,7.602258160583186,77231,587.13,14.962130921204187,38263.5,572.5034965034964,-7.359872760621001,38967.5,14.626503496503574,7.605530963355086,87652,666.64,15.72022981478824,36432.5,572.7272727272726,-8.114698851433154,51219.5,93.91272727272735,7.814280966507059,81241,634.84,16.650500704342605,34397,572.7272727272726,-8.836219737835545,46844,62.1127272727274,9.514117539616096,61214.29523809524,582.4,17.94503626274551,31308.5,561.8321678321678,-8.430918723129414,29905.79523809524,20.567832167832194
4.0,AME001,B003A,22.3,0.6467107553080403,2873,2011,128.83408071748877,2.557389358749006,4817,12.318944541093963,2.4975024975024973,14210,35.48951048951049,0.05988686124650888,-9393,-23.170565948416524,3.4851132983779474,32613,113.66,2.9412384756156027,41132,120.97902097902096,0.5438748227623447,-8519,-7.319020979020962,3.538364382696558,47505,168.09,3.7670759904779865,47090,177.39160839160837,-0.2287116077814284,415,-9.301608391608369,4.786555711661083,64771,310.03,4.929232258424804,45080,222.20979020979016,-0.1426765467637212,19691,87.82020979020982,6.1166687620108116,55679,340.57,6.773370403549325,44097,298.6853146853146,-0.6567016415385138,11582,41.884685314685385,7.094920836920313,53434,379.11,9.27149987132082,41329,383.1818181818182,-2.1765790344005076,12105,-4.071818181818173,7.055803909683285,52792,372.49,11.899912825334708,38577,459.062937062937,-4.8441089156514225,14215,-86.572937062937,9.74767338799025,36104,351.93,13.62272565963325,35765,487.2167832167832,-3.875052271643,339,-135.2867832167832,8.220176559414567,34436,283.07,14.667121853206936,33460.5,490.7692307692307,-6.4469452937923695,975.5,-207.69923076923072,8.192759864974974,42955,351.92,15.31983003372649,32112.5,491.9580419580419,-7.127070168751516,10842.5,-140.0380419580419,7.895463912856399,44157,348.64,16.025190442848704,30716.5,492.2377622377622,-8.129726529992304,13440.5,-143.5977622377622,9.528043671871254,38993.31413612566,371.53,17.04749654221881,28895,492.58741258741253,-7.519452870347555,10098.314136125657,-121.05741258741256
5.0,AME001,B004A,29.700000000000003,0.5074224021592443,3705,2011,124.74747474747474,2.6322947838076756,6492,17.08885773647943,2.4975024975024973,25550,63.81118881118881,0.13479228630517825,-19058,-46.72233107470939,3.3887747519342573,45754,155.05,3.2021875483331357,46570,149.12587412587413,0.18658720360112158,-816,5.9241258741258775,3.3897410140504065,77649,263.21,3.7422987367906124,58096,217.4125874125874,-0.3525577227402059,19553,45.797412587412566,4.502921135416793,82331,370.73,5.001644931328507,59730,298.74825174825173,-0.49872379591171434,22601,71.98174825174829,5.819463735022011,84958,494.41,6.800592369247629,56405,383.58741258741253,-0.9811286342256178,28553,110.8225874125875,6.9822112679829615,74654,521.25,9.29088093395418,53546,497.4895104895105,-2.308669665971218,21108,23.760489510489492,7.038856227424547,66167,465.74,11.62513718334052,49937,580.5244755244755,-4.586280955915973,16230,-114.78447552447551,9.784952491758775,51570,504.61,13.457547398498996,46301,623.0979020979021,-3.672594906740221,5269,-118.48790209790207,7.913990920346678,60575,479.39,14.578319391583117,43577.5,635.2867132867133,-6.664328471236439,16997.5,-155.8967132867133,7.009363696801018,88747,622.06,15.375008118816165,41344,635.6643356643356,-8.365644422015148,47403,-13.604335664335622,7.516384489350082,58592,440.4,16.08767695449125,39512.5,635.6643356643356,-8.57129246514117,19079.5,-195.2643356643356,9.457080256009165,47619.34844677325,450.34,17.281940505256255,36782,635.6643356643356,-7.82486024924709,10837.348446773249,-185.3243356643356
6.0,AME001,B005A,30.1,0.33656761673741664,3298,2011,109.56810631229236,2.7308644271033513,8686,23.72028841381971,2.4975024975024978,30016,74.96503496503497,0.23336192960085356,-21330,-51.244746551215265,3.551003722271231,46477,165.04,3.496503496503497,38592,134.93706293706296,0.054500225767733834,7885,30.10293706293703,4.070217325643275,69527,282.99,3.9420361123521963,44482,175.34965034965037,0.12818121329107912,25045,107.64034965034963,6.014662502169009,69156,415.95,5.319716254968054,48650,258.80419580419584,0.6949462472009547,20506,157.14580419580415,6.680606452540059,69585,464.87,7.187034756840097,45412,326.37762237762246,-0.5064283043000382,24173,138.49237762237755,7.1258308157099695,66200,471.73,9.801051158273587,43088,422.3076923076923,-2.675220342563618,23112,49.4223076923077,7.203018500486855,65728,473.44,11.81457724710578,40217,475.1468531468531,-4.6115587466189245,25511,-1.7068531468531205,10.138407545514367,45590,462.21,13.503433435793323,37256,503.08391608391605,-3.3650258902789556,8334,-40.87391608391607,8.701280791574012,58011,504.77,14.601142347346435,35367,516.3986013986014,-5.899861555772423,22644,-11.628601398601404,8.745022506925208,46208,404.09,15.462612541291074,33478,517.6573426573426,-6.717590034365866,12730,-113.56734265734264,7.6387466104248265,66380,507.06,16.20084008003576,31952.5,517.6573426573426,-8.562093469610934,34427.5,-10.597342657342608,9.26453390084421,54094.464477520334,501.16,17.607392607392605,29400,517.6573426573426,-8.342858706548395,24694.464477520334,-16.497342657342585
7.0,AME001,C005A,21.5,0.9466723549488054,2344,2011,109.02325581395348,2.5753087289297034,8329,21.4497464032555,2.4975024975024973,1750,4.37062937062937,0.07780623142720611,6579,17.07911703262613,3.622409823484267,35181,127.44,2.731302398454469,9614,26.25874125874126,0.8911074250297983,25567,101.18125874125874,3.8511447227043556,48396,186.38,3.3658962371312757,15206,51.18181818181818,0.48524848557307987,33190,135.1981818181818,5.0028778013597615,55598,278.15,4.284891095535137,15558,66.66433566433567,0.7179867058246243,40040,211.4856643356643,6.764634344089509,49336,333.74,4.18719567152047,29569,123.8111888111888,2.5774386725690386,19767,209.9288111888112,6.9801052186007135,49611,346.29,5.438346844171146,33034,179.65034965034965,1.541758374429567,16577,166.63965034965037,6.762194153161741,50352,340.49,7.165538729765938,30034,215.20979020979019,-0.403344576604197,20318,125.28020979020982,9.986469368954399,34736,346.89,8.995335751832386,29092,261.69230769230774,0.9911336171220135,5644,85.19769230769225,8.048197473047466,40998,329.96,10.871119201538944,27171.5,295.3846153846154,-2.822921728491478,13826.5,34.575384615384564,7.197588157582738,59042,424.96,13.01712319192918,25514,332.1188811188811,-5.819535034346442,33528,92.84111888111886,7.701059409602123,45969,354.01,14.450951299638254,23990,346.6783216783217,-6.749891890036131,21979,7.331678321678282,9.464280572776651,39842.43673889429,377.08,15.466008863434752,22415.5,346.6783216783217,-6.0017282906581,17426.936738894292,30.401678321678276
8.0,AME001,C009A,29.7,0.5782892867291843,3519,2011,118.48484848484848,2.5551833031974414,7211,18.42542679935675,2.4975024975024978,20776,51.88811188811189,0.057680805694943604,-13565,-33.46268508875514,3.5027217711279386,32883,115.18,3.2214272624451126,36862,118.74825174825175,0.281294508682826,-3979,-3.5682517482517397,3.7282780410742498,65832,245.44,3.5874147077906935,52768,189.3006993006993,0.14086333328355627,13064,56.13930069930069,5.238283679122619,70756,370.64,4.743793501107027,57086,270.8041958041958,0.4944901780155915,13670,99.8358041958042,5.897100845766143,69641,410.68,6.3912310110879,53664,342.979020979021,-0.49413016532175646,15977,67.70097902097899,6.468822618125484,72296,467.67,8.729293053533056,51283,447.6643356643357,-2.260470435407571,21013,20.005664335664335,6.802448685631977,69425,472.26,11.017272215194314,47933,528.090909090909,-4.214823529562337,21492,-55.83090909090902,9.318363913147985,49924,465.21,13.046530519618592,44497,580.5314685314685,-3.728166606470607,5427,-115.3214685314685,7.717470383944872,72849,562.21,14.340992356924223,41803,599.4965034965034,-6.6235219729793515,31046,-37.286503496503315,7.41057057057057,83250,616.93,15.218557711242305,39471.5,600.6993006993006,-7.8079871406717345,43778.5,16.23069930069937,7.402220885071933,73124,541.28,15.929231930080498,37710.5,600.6993006993006,-8.527011045008564,35413.5,-59.41930069930061,9.295492451138351,63045.610878661086,586.04,17.040873198941878,35250.5,600.6993006993006,-7.745380747803527,27795.110878661086,-14.659300699300616
9.0,AME001,A001A,7.7,0.2145708582834331,1002,2012,130.1298701298701, ,0,0, ,0,0, ,0,0,3.3299159319253637,4877,16.24,2.4975024975024973,11018,27.517482517482517,0.8324134344228664,-6141,-11.277482517482518,3.307174109313147,14399,47.62,3.3392731465536603,16812,56.13986013986014,-0.03209903724051344,-2413,-8.519860139860143,5.0094128721026,16998,85.15,4.147154960212791,16358,67.83916083916083,0.8622579118898095,640,17.31083916083918,6.0768218889765855,19005,115.49,5.713883231913573,16084,91.90209790209789,0.36293865706301265,2921,23.587902097902102,6.488697626028563,21146,137.21,7.831066932411636,15245,119.38461538461539,-1.3423693063830724,5901,17.82538461538462,7.042081026796649,20413,143.75,10.716664371440455,14269,152.91608391608386,-3.674583344643806,6144,-9.166083916083863,10.868456696677555,12551,136.41,12.90862600879937,13267,171.25874125874125,-2.040169312121815,-716,-34.848741258741256,8.129963538284802,20021,162.77,14.252848659697415,12265,174.8111888111888,-6.122885121412613,7756,-12.041188811188789,7.056174540937148,25759,181.76,15.02808091406727,11656.5,175.17482517482514,-7.971906373130123,14102.5,6.585174825174846,7.281917077175698,19488,141.91,15.721321532405218,11142.5,175.17482517482514,-8.439404455229521,8345.5,-33.26482517482515,9.589162240320857,14143.049893320203,135.62,16.461478661356495,10641.5,175.17482517482514,-6.872316421035638,3501.5498933202034,-39.55482517482514
10.0,AME001,A002A,22.6,0.18016850291639663,3086,2012,136.54867256637166, ,0,0, ,0,0, ,0,0,3.097008371875183,17081,52.9,2.4975024975024978,35420,88.46153846153847,0.5995058743726851,-18339,-35.56153846153847,3.504489983882109,30401,106.54,3.365486347132472,52414,176.39860139860136,0.13900363674963723,-22013,-69.85860139860135,4.786605515611544,49931,239,4.182884090505338,50228,210.0979020979021,0.6037214251062064,-297,28.902097902097893,6.026510879813648,54091,325.98,5.779478873649277,49506,286.1188811188811,0.24703200616437115,4585,39.8611188811189,6.511073731426969,57072,371.6,7.921208279830147,46846,371.07692307692304,-1.4101345484031773,10226,0.5230769230769852,7.065063912009513,53824,380.27,10.840636830368716,43825,475.090909090909,-3.7755729183592033,9999,-94.82090909090903,9.442553080901272,38479,363.34,12.996429427858772,40739,529.4615384615385,-3.5538763469575,-2260,-166.12153846153848,8.085413804538348,42218,341.35,14.3043422463389,37653,538.6013986013986,-6.218928441800552,4565,-197.2513986013986,7.4028828541849165,62785,464.79,15.056666932085552,35832,539.5104895104895,-7.653784077900635,26953,-74.72048951048947,7.4387380610453855,43869,326.33,15.749142192298965,34256.5,539.5104895104895,-8.31040413125358,9612.5,-213.1804895104895,9.287560488556213,40305.52484274507,374.34,16.491983111268727,32713.5,539.5104895104895,-7.204422622712514,7592.0248427450715,-165.17048951048952
11.0,AME001,A003A,29.7,0.20099842354177613,3806,2012,128.14814814814815, ,0,0, ,0,0, ,0,0,3.040819699223269,18153,55.2,2.4975024975024978,42574,106.32867132867133,0.5433172017207712,-24421,-51.12867132867133,3.0775207565599607,45046,138.63,3.366678144946893,62914,211.81118881118883,-0.2891573883869323,-17868,-73.18118881118883,4.803183767458159,59929,287.85,4.208043723358433,59420,250.04195804195805,0.5951400440997263,509,37.80804195804197,5.78365262954197,67179,388.54,5.734107088614329,59948,343.7482517482518,0.04954554092764063,7231,44.79174825174823,6.700443972447158,67797,454.27,7.822751940655491,57335,448.51748251748256,-1.1223079682083323,10462,5.752517482517419,6.966350005722788,69896,486.92,10.705271391908889,53478,572.4965034965036,-3.7389213861861013,16418,-85.57650349650356,9.354519374520182,49498,463.03,12.826242684775844,49835,639.1958041958042,-3.471723310255662,-337,-176.16580419580418,8.532985345724514,56707,483.88,14.133990846379074,46076,651.2377622377622,-5.60100550065456,10631,-167.35776223776224,7.792566549472626,71676,558.54,14.953988127640821,43837.5,655.5454545454545,-7.161421578168195,27838.5,-97.00545454545454,7.2079187147824,66728,480.97,15.68756611605911,41891,657.1678321678322,-8.47964740127671,24837,-176.1978321678322,9.02226004662589,58938.66916403785,531.76,16.44831697267654,39953.5,657.1678321678322,-7.42605692605065,18985.16916403785,-125.40783216783223
